Condo,315000,2,2,1400,New York,Manhattan,East 55th Street,"Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",Douglas Elliman  -111 Fifth Ave,NULL,NULL,NULL,NULL,NULL,Manhattan
Condo,195000000,7,10,17545,New York,New York County,New York,"217 W 57th St, New York, NY 10019, USA",Serhant,217 W 57th St," New York"," NY"," 10019"," USA",Manhattan
House,260000,4,2,2015,New York,Richmond County,Staten Island,"620 Sinclair Ave, Staten Island, NY 10312, USA",Sowae Corp,620 Sinclair Ave," Staten Island"," NY"," 10312"," USA",Staten Island
Condo,69000,3,1,445,New York,New York County,New York,"2 E 55th St, New York, NY 10022, USA",COMPASS,2 E 55th St," New York"," NY"," 10022"," USA",Manhattan
Townhouse,55000000,7,2.37386083602905,14175,New York,New York County,New York,"5 E 64th St, New York, NY 10065, USA",Sotheby's International Realty - East Side Manhattan Brokerage,5 E 64th St," New York"," NY"," 10065"," USA",Manhattan
House,690000,5,2,4004,New York,Kings County,Brooklyn,"584 Park Pl, Brooklyn, NY 11238, USA",Sowae Corp,584 Park Pl," Brooklyn"," NY"," 11238"," USA",Brooklyn
Condo,899500,2,2,2184,New York County,New York,Manhattan,"157 W 126th St #1b, New York, NY 10027, USA",Douglas Elliman - 575 Madison Ave,157 W 126th St #1b," New York"," NY"," 10027"," USA",Manhattan
House,16800000,8,16,33000,New York,Richmond County,Staten Island,"177 Benedict Rd, Staten Island, NY 10304, USA",Connie Profaci Realty,177 Benedict Rd," Staten Island"," NY"," 10304"," USA",Staten Island
Co-op,265000,1,1,750,The Bronx,East Bronx,Morrison Avenue,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",Pantiga Group Inc.,NULL,NULL,NULL,NULL,NULL,Bronx
Co-op,440000,2,1,978,Kings County,Brooklyn,Midwood,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",CENTURY 21 MK Realty,1350 Ocean Pkwy #5g," Brooklyn"," NY"," 11230"," USA",Brooklyn
Co-op,375000,2,1,850,Bronx County,The Bronx,Concourse Village,"800 Grand Concourse #2j, Bronx, NY 10451, USA",Engel & Volkers Americas,800 Grand Concourse #2j," Bronx"," NY"," 10451"," USA",Bronx
Townhouse,689000,3,2.37386083602905,1162,New York,Richmond County,Staten Island,"456 Van Name Ave, Staten Island, NY 10303, USA",Re/Max Edge,456 Van Name Ave," Staten Island"," NY"," 10303"," USA",Staten Island
Co-op,259000,3,1,2184,Queens County,Queens,Flushing,"34-41 85th St #1b, Flushing, NY 11372, USA",COMPASS,34-41 85th St #1b," Flushing"," NY"," 11372"," USA",Queens
Co-op,430000,2,2,2184,Queens County,Queens,Elmhurst,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",Jamie & Connie Real Estate Grp,91-15 Lamont Ave #6d," Elmhurst"," NY"," 11373"," USA",Queens
Co-op,895000,3,1,2184,New York County,New York,Manhattan,"61 Jane St #6n, New York, NY 10014, USA",Corcoran Chelsea/Flatiron,61 Jane St #6n," New York"," NY"," 10014"," USA",Manhattan
Condo,549000,2,2,1000,Richmond County,Staten Island,Annadale,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",Awaye Realty,4654 Amboy Rd #2b," Staten Island"," NY"," 10312"," USA",Staten Island
Townhouse,975000,3,2,1734,New York,Queens County,Queens,"28-31 Hobart St, Flushing, NY 11377, USA",Realty Executives Today,28-31 Hobart St," Flushing"," NY"," 11377"," USA",Queens
Co-op,199000,3,1,325,Kings County,Brooklyn,Fort Hamilton,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",Dorsa Group Realty,9430 Ridge Blvd #6d," Brooklyn"," NY"," 11209"," USA",Brooklyn
Co-op,350000,1,1,700,Bronx County,The Bronx,North Riverdale,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",Coldwell Banker Realty,5800 Arlington Ave Apt 21s," Bronx"," NY"," 10471"," USA",Bronx
